term,estimate,std.error,statistic,p.value,outcome,lwr,upr,reg,model_name
w1.GE_male_std,-0.13804303947022173,0.09204463511414251,-1.4997401999479667,0.13368171300774134,dx_dm5,-0.31844720926407183,0.04236113032362837,dx_dm5 ~ race5 + sespc_al + nhood1_d + ins5 + edu5 +  w1.GE_male_std,Model 1
w4.GE_male_std,-0.23071931421474676,0.09122450075073062,-2.529137592598981,0.01143431918708422,dx_dm5,-0.40951605019382586,-0.05192257823566768,dx_dm5 ~ race5 + sespc_al + nhood1_d + ins5 + edu5 +  w4.GE_male_std,Model 1
w1.GE_male_std,-0.06334590755742549,0.0528815184440175,-1.1978836731869946,0.230962306696246,dx_hld5,-0.16699177915549035,0.04029996404063939,dx_hld5 ~ race5 + sespc_al + nhood1_d + ins5 + edu5 +  w1.GE_male_std,Model 1
w4.GE_male_std,-0.15266901149902326,0.0543964323028817,-2.8065997168519354,0.005006741360505753,dx_hld5,-0.25928405970014257,-0.046053963297903955,dx_hld5 ~ race5 + sespc_al + nhood1_d + ins5 + edu5 +  w4.GE_male_std,Model 1
w1.GE_male_std,-0.13057933157546595,0.051610930912671125,-2.530071232321196,0.011403937190082418,dx_htn5,-0.23173489737288627,-0.02942376577804562,dx_htn5 ~ race5 + sespc_al + nhood1_d + ins5 + edu5 +  w1.GE_male_std,Model 1
w4.GE_male_std,-0.21287616573987458,0.04772811617152366,-4.460183699160628,8.188943253635066e-6,dx_htn5,-0.30642155448600467,-0.1193307769937445,dx_htn5 ~ race5 + sespc_al + nhood1_d + ins5 + edu5 +  w4.GE_male_std,Model 1
