term,contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,model_name
w1.GE_male_std,dY/dX,-0.0075770316953568655,0.004844699419078223,-1.5639838594565503,0.11782135895595772,-0.017072468072672303,0.0019184046819585715,dx_dm5,Model 1
w4.GE_male_std,dY/dX,-0.01270499877502167,0.004867355066224071,-2.610246962089367,0.009047687926835411,-0.022244839404789416,-0.0031651581452539247,dx_dm5,Model 1
w1.GE_male_std,dY/dX,-0.009889955708547792,0.008460622730314652,-1.1689394532522766,0.2424280263988863,-0.026472471546745445,0.0066925601296498605,dx_hld5,Model 1
w4.GE_male_std,dY/dX,-0.023817591799641685,0.008158386522404084,-2.9193997776686857,0.0035070614458309803,-0.03980773555551066,-0.007827448043772705,dx_hld5,Model 1
w1.GE_male_std,dY/dX,-0.023295006689003247,0.009448780222403287,-2.465398299112749,0.013686102137931762,-0.041814275622748046,-0.004775737755258445,dx_htn5,Model 1
w4.GE_male_std,dY/dX,-0.03787834623059855,0.009264204331523597,-4.08867776174892,4.3383902242543116e-5,-0.05603585306580476,-0.019720839395392334,dx_htn5,Model 1
