term,estimate,std.error,statistic,p.value,outcome,lwr,upr,reg,model_name
w1.GE_male_std,0.13934279227303975,0.21413631778825598,0.650720035313327,0.5152272274659894,w5_a1c,-0.2803566783739656,0.5590422629200451,w5_a1c ~ race5 + sespc_al + nhood1_d + ins5 + edu5 +  w1.GE_male_std +  w5_anti_dm_med_use,Model 3
w4.GE_male_std,-0.3196128057898387,0.20832842289127382,-1.534177628544925,0.12498595973637484,w5_a1c,-0.727929011612765,0.08870340003308763,w5_a1c ~ race5 + sespc_al + nhood1_d + ins5 + edu5 +  w4.GE_male_std +  w5_anti_dm_med_use,Model 3
w1.GE_male_std,0.02851576371285951,0.06480527848340045,0.4400222386231035,0.6599210006376655,w5_bp,-0.09850024812269385,0.15553177554841288,w5_bp ~ race5 + sespc_al + nhood1_d + ins5 + edu5 +  w1.GE_male_std +  w5_anti_htn,Model 3
w4.GE_male_std,-0.0859041354809711,0.07922353682465078,-1.08432593297503,0.2782203109439065,w5_bp,-0.24117941438516932,0.0693711434232271,w5_bp ~ race5 + sespc_al + nhood1_d + ins5 + edu5 +  w4.GE_male_std +  w5_anti_htn,Model 3
w1.GE_male_std,0.04675986146172083,0.13446267381319968,0.347753470429134,0.728025336304124,w5_nhdl,-0.21678213647710753,0.3103018594005492,w5_nhdl ~ race5 + sespc_al + nhood1_d + ins5 + edu5 +  w1.GE_male_std +  w5_anti_hld_med_use,Model 3
w4.GE_male_std,-0.09236500123825193,0.12093220184043553,-0.7637750725825971,0.44500129413493905,w5_nhdl,-0.32938776141663395,0.1446577589401301,w5_nhdl ~ race5 + sespc_al + nhood1_d + ins5 + edu5 +  w4.GE_male_std +  w5_anti_hld_med_use,Model 3
