term,contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,model_name
w1.GE_male_std,dY/dX,0.003825565620112916,0.0066826420825522575,0.5724630427389047,0.5670083165519533,-0.009272172183261249,0.01692330342348708,w5_a1c,Model 3
w4.GE_male_std,dY/dX,-0.008839440733765075,0.006123376496345081,-1.4435566290985304,0.14886373228678296,-0.020841038130380494,0.0031621566628503434,w5_a1c,Model 3
w1.GE_male_std,dY/dX,0.006420883667587452,0.01707861141046447,0.37596052239078553,0.706946245114363,-0.027052579602877713,0.03989434693805262,w5_bp,Model 3
w4.GE_male_std,dY/dX,-0.019295859153331305,0.01667392603252377,-1.1572474962221406,0.2471712577038892,-0.05197615365796272,0.013384435351300114,w5_bp,Model 3
w1.GE_male_std,dY/dX,0.0038546253839265585,0.010708983492502138,0.35994316235760027,0.7188896383934059,-0.017134596572411592,0.024843847340264708,w5_nhdl,Model 3
w4.GE_male_std,dY/dX,-0.007640296636976498,0.009439291583015935,-0.8094141991252438,0.41827693751661327,-0.0261409681792598,0.010860374905306804,w5_nhdl,Model 3
