outcome,term,biomarker_abnormal,contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,predicted,predicted_hi,predicted_lo
dx_htn5,w1.GE_male_std,0,dY/dX,-0.045850161123028504,0.01958116514841701,-2.341544069288193,0.019204158614753816,-0.08422853958925675,-0.00747178265680027,0.14793159927081884,0.14791348256046458,0.14793159927081884
dx_htn5,w1.GE_male_std,1,dY/dX,-0.022607639506142863,0.017531452889617615,-1.2895474008050662,0.19720784845216632,-0.05696865576645404,0.011753376754168314,0.25280651887198113,0.2527975859468464,0.25280651887198113
dx_htn5,w4.GE_male_std,0,dY/dX,-0.052632465401176484,0.021046494923791455,-2.500771059112532,0.0123923259786948,-0.0938828374526128,-0.01138209334974017,0.15337570933506262,0.15335657522787088,0.15337570933506262
dx_htn5,w4.GE_male_std,1,dY/dX,-0.038559631644033095,0.01693895538751747,-2.276387815062561,0.022822808323797482,-0.07175937413929805,-0.005359889148768143,0.2499818504058884,0.24996783236361114,0.2499818504058884
dx_dm5,w1.GE_male_std,0,dY/dX,-0.01003326845490567,0.005088682038793975,-1.9716831152774421,0.04864579233209873,-0.02000690197971771,-5.963493009362823e-5,0.027662832849220925,0.02765886841781977,0.027662832849220925
dx_dm5,w1.GE_male_std,1,dY/dX,-0.17233088957046694,0.08755607219044179,-1.968234586810071,0.04904105243052818,-0.3439376376915218,-7.241414494120746e-4,0.6530060540084213,0.6529379611438605,0.6530060540084213
dx_dm5,w4.GE_male_std,0,dY/dX,-0.005753175990667531,0.007335954261046424,-0.7842437106262546,0.4328971214550629,-0.020131382134551665,0.008625030153216601,0.03263458799432893,0.032632496473719755,0.03263458799432893
dx_dm5,w4.GE_male_std,1,dY/dX,-0.060014830332237964,0.06594554832906559,-0.910066438946969,0.36278747253110455,-0.18926572999795205,0.0692360693334761,0.6660327490046584,0.6660109310983924,0.6660327490046584
dx_hld5,w1.GE_male_std,0,dY/dX,-0.025880593182351752,0.015472293970736786,-1.672705626670518,0.09438526102654232,-0.056205732123212074,0.004444545758508566,0.2255847813830834,0.22557455522031764,0.2255847813830834
dx_hld5,w1.GE_male_std,1,dY/dX,-0.06924472897418713,0.06649073714707077,-1.0414191802540076,0.2976810445769042,-0.1995641790879653,0.06107472113959106,0.4612759964707645,0.46124863589737375,0.4612759964707645
dx_hld5,w4.GE_male_std,0,dY/dX,-0.04212702958412372,0.015390695451067882,-2.7371751795141095,0.00619692840214533,-0.07229223836524121,-0.011961820803006236,0.22437122612201113,0.22435591118106,0.22437122612201113
dx_hld5,w4.GE_male_std,1,dY/dX,-0.043423891484372375,0.07360929269405328,-0.5899240421295406,0.5552415748095505,-0.18769545409218408,0.10084767112343934,0.45571305341070767,0.4556972670060996,0.45571305341070767
